"sampItr","time2converge","timeunits","noItr2converge","error","alpha_zip1_1","alpha_zip1_2","alpha_zip1_3","alpha_zip1_4","alpha_zip1_5","alpha_zip1_6","alpha_zip1_7","alpha_zip1_8","alpha_zip1_9","alpha_zip1_10","alpha_zip2_1","alpha_zip2_2","alpha_zip2_3","alpha_zip2_4","alpha_zip2_5","alpha_zip2_6","alpha_zip2_7","alpha_zip2_8","alpha_zip2_9","alpha_zip2_10","beta_zip1_1","beta_zip1_2","beta_zip2_1","beta_zip2_2","sigma2_1","sigma2_2","sigma2_3","sigma2_4","sigma2_5","sigma2_6","sigma2_7","sigma2_8","sigma2_9","sigma2_10"
"1","23.8424603501956","mins","19","0.0047886469345684","0","0.17124289899032","0.253010439956267","0.300541496543788","0.356350098760612","0.405989697234209","0.457810305086519","0.521384125825774","0.632031114718337","0.828759343745647","0.723606515710542","0.536326654895712","0.466999785142078","0.419663833348556","0.366316008081737","0.305735205746926","0.257900634394374","0.197914364912887","0.102989737637309","-0.0634438061992273","0.191187823724528","-0.160520842369356","-0.0360495294452485","-0.472735363695154","2.50451418230054","1.63860675796145","1.19873134565462","1.15720749372397","0.941452252540522","0.828149864123167","1.0930763021786","1.30422848587185","1.75801839190855","2.62177385083145"
"2","12.5416857639949","mins","10","0.00472062598415895","0","0.112179989172209","0.204049549093473","0.265668942359496","0.296372197679401","0.33966939641384","0.394597668760766","0.483732936893969","0.62196788222326","0.729297157844341","0.721680520318435","0.530510909179288","0.419426656411239","0.352108137891287","0.285736300855383","0.271027474534091","0.21398682984173","0.146930979062694","0.0429426279400919","-0.0261526999017261","0.0830180783910736","-0.228613951049952","-0.209482961773761","-0.641835213465693","2.41293091785278","1.62254981790808","1.27006364427239","1.09908641330147","1.0252322040798","1.06805097860294","1.01078813911113","1.26570290810726","1.80518699949739","2.35946990423293"
"3","16.2777644832929","mins","13","0.00440729523007388","0","0.10513568007998","0.223115383982074","0.295088223309314","0.308770646558831","0.368465412768868","0.414839513093934","0.487218198429402","0.574125091197201","0.728959087348045","0.786934269977335","0.670839876880251","0.524472913210791","0.447562880007602","0.422064938751356","0.365159931861825","0.325396933098799","0.268431816942662","0.19404509203383","0.0564558443177908","-0.122215441999911","-0.420957768738031","-0.0288733251570239","-0.446162114978815","2.31342001315938","1.77715834334897","1.1922105927519","0.936424915881397","1.02746868988754","0.854342693485871","0.970261316287973","1.22884608686756","1.53195534135179","2.28498945791962"
"4","12.429584133625","mins","10","0.00447767001196719","0","0.0979709335323137","0.138811927748043","0.196754131119272","0.227397037976826","0.269562886574149","0.340900908074628","0.408825400439714","0.47631548071419","0.684946935765754","0.623752060643131","0.476255241763718","0.423692436801715","0.357611030318315","0.31545425466183","0.259649999492568","0.215197128541026","0.162957927086297","0.106204402268499","-0.0488918203548494","0.0789172119371404","-0.224321317073247","-0.190448555016014","-0.60712654177209","1.74775289366273","1.29490069887954","1.12971299999803","0.99406193551059","0.900121074395206","0.849989753724616","0.860414160956932","1.04941000471624","1.31201091693941","2.06010855283424"
"5","21.1756052176158","mins","17","0.00486049901181021","0","0.183371583914889","0.270185481967563","0.318234193455948","0.349233964189206","0.421307385899322","0.475462413827292","0.530945146205595","0.608960630656646","0.80386358085451","0.751149139657059","0.567933547271993","0.469837476837055","0.403998852860891","0.378131340078616","0.315601328698725","0.267721378635606","0.201839651819952","0.118187916017067","-0.0455123831652963","-0.149043161896161","-0.524187444074849","0.277810035188821","-0.115592043003201","2.51989019927571","1.63132426037261","1.18357741130993","0.929190961948185","0.886214515307673","0.830838941970272","0.990516594662378","1.39494389766068","1.67044060466837","2.43490701187113"
"6","22.5991166671117","mins","18","0.00403657447135645","0","0.153305161410852","0.244437072811978","0.305757733223602","0.370715141074235","0.430250370649486","0.451103903165892","0.493960223210104","0.63756215094071","0.854099567219933","0.717846131398766","0.563012111937413","0.463249891547319","0.386857034617319","0.345578723779893","0.278284324126794","0.247210171547167","0.217639561946588","0.0921096697568048","-0.122759030680923","0.0995824221027862","-0.210813372848244","-0.176433644924637","-0.664277125018662","2.62012970113981","1.68627039139082","1.3261952650403","1.00333234178458","0.972052129602638","1.00951858018872","0.938781619377246","1.07818597868118","1.80767695200173","2.8526233082549"
"7","13.7969814499219","mins","11","0.0048687950843378","0","0.0950016063692191","0.14992516703972","0.218925137753719","0.250889919630029","0.323663279500426","0.33597822184511","0.438554044223749","0.480080525170508","0.609628404324563","0.525706057351397","0.428785857784895","0.373949680476475","0.274715959948536","0.23575947226667","0.165150559270601","0.140277489389626","0.0755032018835352","0.0288314829003779","-0.0714594588172026","0.074235527597197","-0.23998600832847","0.0649541641959724","-0.351332620115425","1.68716567786548","1.32375494462628","1.10063684420465","0.77609871687749","0.808519421869748","0.813763145519017","0.810062368494107","1.15021152351539","1.25427318729563","1.7591441345936"
"8","14.9634582320849","mins","12","0.00446487720179911","0","0.14951053090341","0.220067322812249","0.272080427420062","0.290732965309177","0.360661553007469","0.385860675050268","0.464529219603235","0.541930984898448","0.727706838359234","0.68324143315329","0.530709275328853","0.432278960949516","0.376933225723332","0.336549566951796","0.273852040538755","0.24906820200324","0.199688602888931","0.109840189619874","-0.0304112974274331","-0.0194578683083674","-0.346713176127755","-0.235154945101811","-0.680986510351552","2.02508424325383","1.36374140257159","1.08687763082127","0.838902661431012","0.858523862014852","0.894285088904292","0.819353833962233","1.07903678559354","1.40263103724681","2.02791576764589"
"9","26.2409475167592","mins","21","0.00485742988705935","0","0.161100778953987","0.29587565505698","0.359968336062405","0.380696794089716","0.432726923080481","0.472341524895091","0.540475548584665","0.6180752453957","0.785175396125311","0.92712621041959","0.781629804760053","0.637968356738762","0.56086157565297","0.533836000707507","0.488298283062883","0.448099381667122","0.38201822509798","0.320428148083927","0.161026474295886","0.221420615844312","-0.0673072204504419","-0.178017716375365","-0.553833094127923","2.45157118307421","1.59458760530167","1.06906345817284","0.787985536018059","0.796681382345385","0.795345439803005","0.86880453198531","1.20173214989427","1.5508819651563","2.35611595686527"
"10","23.7375064174334","mins","19","0.0035318399781331","0","0.216564461315641","0.330853224432368","0.38291515108154","0.435214490179791","0.489048869973235","0.516488018137482","0.606251644238771","0.76564242793745","0.944636946017577","0.851645002964706","0.642564187544316","0.525440640112648","0.436940089865396","0.413371669612332","0.34443969125499","0.31495304126406","0.257404080130509","0.0954989276728818","-0.0944523399717004","0.242090785666613","-0.194315261834906","-0.0881265059958043","-0.58653918200257","3.54387601385965","2.34631823974646","1.72292927288432","1.40320613594013","1.38959615651034","1.31972552300833","1.30273876828587","1.62487329992867","2.65333108815823","3.64469193089237"
