"sampItr","time2converge","timeunits","noItr2converge","error","alpha_zip1_1","alpha_zip1_2","alpha_zip1_3","alpha_zip2_1","alpha_zip2_2","alpha_zip2_3","beta_zip1_1","beta_zip1_2","beta_zip2_1","beta_zip2_2","sigma2_1","sigma2_2","sigma2_3"
"1","37.0237765312195","mins","23","0.00490847242767144","0","0.153191688978155","0.276379990876285","0.663216182396333","0.525914042225005","0.402641294454981","0.331167190675897","-0.151684224482681","-0.0071597907244485","-0.723987948891947","1.21626102201694","1.23008370833566","1.11971588181797"
"2","1.04526349637243","hours","39","0.00313347100265101","0","0.149482755526536","0.280489667381966","0.350092757177689","0.171804580141965","0.0800855610824809","0.270898326904001","-0.380668904609846","-0.0420108963382007","-0.79596796920204","1.50575734392713","1.74580456545796","1.5007399206115"
"3","41.9602689504623","mins","26","0.0042710250429397","0","0.0792318411846797","0.23650257084413","-0.236292666476957","-0.361049304947151","-0.512409620888775","0.411271910716447","-0.131207811347387","0.049733707564888","-0.658577523645712","1.06178010700017","1.04981082803133","1.18959340376988"
"4","35.4223648826281","mins","22","0.00444298266140188","0","0.143346678694875","0.305133711071584","0.637698143464439","0.543483020926334","0.406992484293584","0.375944841192999","-0.119138562737113","0.00535569025045279","-0.673945967546077","1.23911379443493","1.01262677129567","1.16620895287366"
"5","32.1347861687342","mins","20","0.00450343723309635","0","0.153092637334138","0.3097883137894","0.401419229247726","0.258273792796657","0.125808218917539","0.408040538702087","-0.156630244235721","-0.0864850741697014","-0.859624928229307","1.37011537757161","1.09543471970225","1.38445882778395"
"6","9.64985455274582","mins","6","0.00403182836672033","0","0.104366463595085","0.263911991988677","0.209949565612343","0.0957162561651311","-0.0110274033726819","0.439660956848149","-0.081403049679423","-0.251414179373582","-0.934752405512824","1.06975791409002","0.934259203495193","1.14161847523334"
"7","1.28773076858785","hours","48","0.00492722868963063","0","0.130718434715131","0.295580165682339","-1.11543989797442","-1.25676939409651","-1.39485450660513","0.543797172226199","0.0671621881874398","-0.248187652118152","-0.994376021524655","1.14800330926546","1.16271410190787","1.58075828131034"
"8","11.5133071184158","mins","7","0.00450995855340767","0","0.119229904187657","0.296677503243305","0.171905502367906","0.0536652673657317","-0.11273063517736","0.495049479724955","-0.0264272988865737","-0.0133234181810282","-0.693914369721242","1.04548999781353","1.00882009276773","1.18319944357882"
"9","30.686258049806","mins","19","0.00462539062221553","0","0.180727984109524","0.367627482713093","0.124685056746059","-0.077934521243702","-0.260615102586005","0.401901327796474","-0.304023119906274","0.139898013879359","-0.716000951291926","1.7639718528322","1.67924663818842","1.834117383365"
"10","43.4871211330096","mins","27","0.00457978116325931","0","0.13229998163389","0.291848148782845","0.808402299856754","0.649558013036611","0.511822308502991","0.281686468060549","-0.266960408255039","-0.0731478829641683","-0.729586923260732","1.32905786847793","1.20051053477479","1.18686109689237"
