"sampItr","time2converge","timeunits","noItr2converge","error","alpha_zip1_1","alpha_zip1_2","alpha_zip1_3","alpha_zip1_4","alpha_zip1_5","alpha_zip1_6","alpha_zip1_7","alpha_zip1_8","alpha_zip1_9","alpha_zip1_10","alpha_zip2_1","alpha_zip2_2","alpha_zip2_3","alpha_zip2_4","alpha_zip2_5","alpha_zip2_6","alpha_zip2_7","alpha_zip2_8","alpha_zip2_9","alpha_zip2_10","beta_zip1_1","beta_zip1_2","beta_zip2_1","beta_zip2_2","sigma2_1","sigma2_2","sigma2_3","sigma2_4","sigma2_5","sigma2_6","sigma2_7","sigma2_8","sigma2_9","sigma2_10"
"1","18.1117898662885","mins","29","0.00408287042627586","0","0.104698253643899","0.216104079235396","0.261717898232651","0.300802992686624","0.36890430126471","0.396483317099838","0.474664705283335","0.564728601591485","0.715043774787675","0.634796709502521","0.551094418143634","0.424616090285001","0.370310357100517","0.347429167859483","0.292411152234897","0.244234783227952","0.187566883802788","0.103095731924916","-0.0514189973517488","0.274664109460222","-0.098652678465092","-0.190074480450238","-0.574110233987537","2.13194208050439","1.74565310023222","1.07914962523348","0.877996286862287","0.809804983678424","0.700211315437625","0.860831213694194","1.19055394506208","1.56847830014641","2.22251733586786"
"2","11.1719390869141","mins","18","0.0047240475488679","0","0.164399803201424","0.285298931562095","0.35219799938006","0.386865050153313","0.403050098015468","0.501763084445785","0.587777807585251","0.633320630174718","0.818952033778747","0.887237170584058","0.717066395038171","0.592079940700115","0.523812293455934","0.474339003200615","0.464159108126427","0.373704136866991","0.275048785538544","0.248176855274811","0.0799540616012107","0.31325748150947","-0.0260567590820463","-0.185811955338009","-0.674974927978585","2.78108855054291","1.90984356235185","1.27596352198882","1.22044049687876","0.921165200575233","1.01602583453235","1.26546751184593","1.68955685272314","1.7343528830269","2.73701045426466"
"3","49.3745380163193","mins","80","0.00464002123177169","0","0.119966085917484","0.229107491430184","0.292952453417566","0.303611214742251","0.380508551147477","0.403056796906544","0.506485785716431","0.588928887173886","0.670515155596922","0.529807367082096","0.388590221103742","0.273525178942715","0.215309524010947","0.196094796073764","0.137448806052234","0.115110552401327","0.0130198758673322","-0.0748278829300147","-0.160045641422751","0.323339593543709","0.0179955750206262","-0.241012628660993","-0.667564842505899","2.40730218676902","1.68549218692729","1.25114027253705","0.991766890316355","0.842851182779434","0.912799124755264","1.19549628647311","1.46883111147864","1.72144886631726","2.17511216225545"
"4","31.6110543171565","mins","51","0.00459825456483881","0","0.0970937689977234","0.215047557573153","0.289554740491565","0.312313963396865","0.381619988251363","0.37970231542035","0.451260692663716","0.538344194963456","0.711647589123479","0.856683531835542","0.791382144099681","0.648602195429296","0.59546320315239","0.547337582519333","0.496334324391097","0.496027277346472","0.389113141737991","0.314123406882909","0.156389055399568","0.388885084310593","0.0286442758776132","-0.321794462445085","-0.692306589220248","2.1170023490613","1.73497233840824","1.23064857620148","0.806908234624609","0.750218427383268","0.79479798202579","0.665367670173287","1.1691665617467","1.5044814825214","2.24371980971229"
"5","25.9553014000257","mins","42","0.0049518643149634","0","0.106873520780174","0.262024558242817","0.323521334469418","0.356582532541691","0.405584780008695","0.451876104827235","0.479323966086729","0.610220171345055","0.75926137328287","0.831155471481145","0.71477361410359","0.607819572958763","0.53486519762985","0.485284921580952","0.435254689346285","0.404966554206125","0.368518387437725","0.244347862421397","0.100477002321994","0.184630802551071","-0.147491318634389","-0.0464393148266647","-0.482884006739421","2.37039899220139","1.86882111607647","1.22224746342181","0.795698658073492","0.891037688559935","0.928792926421203","1.02840573851767","1.14852437300183","1.71994539382096","2.44530908023995"
"6","16.7234739025434","mins","27","0.0048892849237873","0","0.115207018831485","0.22625430778234","0.30145599630085","0.335723312712392","0.350069807387541","0.390985359274331","0.47915899133261","0.535391748880153","0.629855160229931","0.941888193256341","0.80535679499106","0.693731434596957","0.62664391489247","0.570283247786416","0.559423438632983","0.531211005550849","0.445354327941127","0.370040196215955","0.288050291544824","0.312797446661487","0.0461131856105809","-0.385992373145321","-0.67837268120965","2.02879135972176","1.4298925515505","1.02675803852667","0.768676996619749","0.743969365636105","0.654867836221353","0.799681146420434","1.13072269839857","1.39510498432241","1.72712303953643"
"7","14.338386396567","mins","23","0.00481220434774006","0","0.172050185005421","0.269181805211001","0.281910000947211","0.353498115713339","0.389487190906525","0.441965651175359","0.49992767563439","0.626041847179473","0.743642153402334","0.573958549495459","0.376842282483827","0.302003444120569","0.278041053605927","0.202794839245174","0.179976131421004","0.127046750105288","0.0490880468939585","-0.0543792222780253","-0.158729631513739","0.197961499522724","-0.146306362843413","-0.0840088395849637","-0.498709144918668","2.3003867106765","1.46899690775447","1.00835938709111","1.04604637110923","0.853244029266146","0.811488680124341","0.956033693437533","1.21917284206767","1.66783616714556","2.12356182286607"
"8","5.04615881840388","mins","8","0.00486537404494651","0","0.144022328283627","0.211501672556275","0.271879499251003","0.275252679938063","0.315542221847607","0.372043053221696","0.473228408442109","0.54086943442544","0.690502542614701","0.754146958686493","0.551109034772365","0.453795414899387","0.383783958573682","0.354485047468794","0.315602174870619","0.273792297967394","0.239984139895727","0.147865109228177","0.065909813346205","0.287848520243683","-0.0347014404200235","-0.409763806428182","-0.814229788475092","1.99795264118276","1.20952165496621","0.958321078142109","0.752738789564007","0.802600499914721","0.764456624073982","0.817251583041323","1.1052796007766","1.33470812740393","1.78879575960435"
"9","17.8165803352992","mins","28","0.00388773032880054","0","0.160777617681888","0.256421458258022","0.343184614693061","0.402005708528459","0.462796914315671","0.466538828288655","0.546474387265697","0.696845398770812","0.846587197279692","0.586392363369838","0.434765473183577","0.337410531940484","0.251767254032268","0.203301398310988","0.133715956997231","0.113675326013398","0.0362141401055444","-0.114517683889713","-0.239623491171546","-0.223944985143018","-0.552847486184766","-0.00649455629940088","-0.537460088443672","2.78795618948623","1.98932081392597","1.39814794449894","1.09458109890919","1.04760735334505","0.919915447362711","1.0666818505175","1.41196964432645","2.22480681913835","2.91396018479948"
"10","12.4820514798164","mins","20","0.00496236747144695","0","0.111730859755023","0.244444589268201","0.312233115633866","0.342948305522162","0.392710041245344","0.462987280664898","0.539047715320837","0.594747690424199","0.774462051570635","0.806696570741216","0.697693860234697","0.546608820978807","0.476376669959589","0.44133794757532","0.37773925640995","0.329775686435413","0.267120242641174","0.198106238452804","0.0437240284292836","0.0903113666348719","-0.341980183791436","0.0158113007984416","-0.510196904656845","2.69902465211215","2.06993137807436","1.33715954924108","1.22663103267104","1.00688568798751","1.08619413049287","1.47947918275516","1.55570565034091","1.78823918287479","2.59262150158901"
