"sampItr","time2converge","timeunits","noItr2converge","error","alpha_zip1_1","alpha_zip1_2","alpha_zip1_3","alpha_zip1_4","alpha_zip1_5","alpha_zip2_1","alpha_zip2_2","alpha_zip2_3","alpha_zip2_4","alpha_zip2_5","beta_zip1_1","beta_zip1_2","beta_zip2_1","beta_zip2_2","sigma2_1","sigma2_2","sigma2_3","sigma2_4","sigma2_5"
"1","53.882706785202","mins","27","0.00488742689569937","0","0.163892840777455","0.251944122262945","0.379901736580144","0.518186650774067","0.406213481313402","0.244682216425555","0.151015188411529","0.0304092808731694","-0.104270558794148","0.36517784147423","-0.195484911634462","0.0412851162583003","-0.676950335565184","1.759139079845","1.41097757131142","1.2375997357043","1.4792214422949","1.90536828843615"
"2","29.8742018500964","mins","15","0.004650533417051","0","0.112124737840284","0.247261813647341","0.346206083617078","0.505326500185762","0.594313372245793","0.452877252919879","0.326365700433143","0.224553610446981","0.0877696910547313","0.266541855575698","-0.270240891130469","0.131351704370871","-0.624783438165594","1.95829065924892","1.65756380600156","1.43132024465842","1.53630181719202","1.88162736350253"
"3","57.6581853826841","mins","29","0.00396819072188227","0","0.165060564012588","0.248835912294688","0.382494324104234","0.595641932350562","0.179491076269847","0.0235882999471005","-0.0770508237393676","-0.208018193883908","-0.406501578398536","0.276872818100535","-0.324112943191491","-0.0447722136127231","-0.878915699289169","2.23816426993992","1.99434994796949","1.96631501152368","1.74456427761846","2.54599669861163"
"4","30.8785607179006","mins","15","0.00418353592992797","0","0.129175196046861","0.251797754549511","0.363849458638413","0.561828475793991","0.523246899680452","0.379423771706994","0.247957373454324","0.137344974032417","-0.0226748943717243","0.263050723835227","-0.330858880260394","0.175191228972538","-0.590943291749318","1.94287628682185","1.63466088522393","1.58529394023425","1.51108416256504","2.03842937213347"
"5","11.9769112666448","mins","6","0.00392032892627973","0","0.0489543243387599","0.170447759854931","0.286139825072152","0.411237255447257","0.429004345328674","0.268187564688943","0.140889752732662","0.0863912873642979","-0.0142377646797062","0.442750115942579","-0.0393457496533013","-0.170867518892008","-0.812205374583398","1.25725285910561","1.28590034082313","1.28828817037388","1.11748019624215","1.36890634708258"
"6","31.9226878643036","mins","16","0.0047255823624458","0","0.0948951593180977","0.196062705730492","0.314862292276209","0.474316946931566","0.481696752080853","0.350761855819842","0.222200907875207","0.11746667410092","-0.0274292360494669","0.318450981244537","-0.259953092368491","0.0975800915865906","-0.615404594400499","1.79275251724921","1.68359884213592","1.42564670474299","1.42623211345007","1.68680527647965"
"7","23.904043451945","mins","12","0.00479184234857212","0","0.142592131580994","0.203025255133969","0.305317965260102","0.455504275728595","0.439845765125702","0.333547409492755","0.217178795147696","0.149535435071066","0.0196544433816799","0.366902925186204","-0.160326837982919","0.0832931293623025","-0.556754818678271","1.42532540896471","1.18243986028114","1.17802236466968","1.10201471323847","1.50716209241357"
"8","13.9306487162908","mins","7","0.00459112657374778","0","0.144393763799758","0.231813554529769","0.370674170510072","0.522886255466238","0.532568107209351","0.280601473237892","0.166557910519092","0.0711006505787086","-0.0437417553992388","0.646323267470057","0.0365345184075467","-0.121407480134273","-0.978371450687486","2.04996436752546","1.71572436507281","1.84322163603066","1.86598342879785","1.93766124863999"
"9","25.8501145164172","mins","13","0.00491041538808182","0","0.160669929047111","0.243803878303183","0.376131824373655","0.517798782899016","0.665267093115715","0.474021523042086","0.391527844506361","0.276236090958386","0.151699014945147","0.249950319672135","-0.344593783676437","-0.0139418602407693","-0.754409681234197","1.87498101800735","1.51745628903709","1.34079619225138","1.42676749190457","1.83612116267374"
"10","33.924516816934","mins","17","0.00486191861774733","0","0.114408691566008","0.225803622457321","0.314906959682251","0.473707143365219","0.482630556286665","0.338697749727021","0.247411829051919","0.138298661488012","0.0113046697422781","-0.00767790470254903","-0.507613001518389","0.0609488257087136","-0.615603930773008","1.60618317784369","1.33889492895377","1.12565182917793","1.23429138525902","1.68007812147604"
