"sampItr","time2converge","timeunits","noItr2converge","error","alpha_zip1_1","alpha_zip1_2","alpha_zip1_3","alpha_zip1_4","alpha_zip1_5","alpha_zip2_1","alpha_zip2_2","alpha_zip2_3","alpha_zip2_4","alpha_zip2_5","beta_zip1_1","beta_zip1_2","beta_zip2_1","beta_zip2_2","sigma2_1","sigma2_2","sigma2_3","sigma2_4","sigma2_5"
"1","12.6079407811165","mins","16","0.00495428623597009","0","0.112055529978329","0.195776093608488","0.317672918349166","0.446051641708691","0.455554272279316","0.321888343223124","0.22524387770845","0.119940286724051","0.0351095536449221","0.210432346027351","-0.349999145703949","0.0949320587677864","-0.587592470075246","1.53262352096154","1.2903986757122","1.20894127484688","1.26097126955303","1.5878953612569"
"2","20.4657837470373","mins","26","0.00446710789721185","0","0.114754616530433","0.208950149357588","0.297258722656307","0.464284082337265","0.213611844970938","0.122918905276749","0.0250388176651477","-0.0736217246472151","-0.234159079011159","0.640432935855138","0.056450101369919","-0.126531023222375","-0.84681293446354","1.49936407975578","1.37431068079999","1.23250839312548","1.3884265513039","1.71337465946936"
"3","8.67006456454595","mins","11","0.00492973306307358","0","0.188669940531403","0.308349913736987","0.392898562460389","0.513162125148823","0.687033303745656","0.44816258442236","0.379037812045978","0.273409401870918","0.145966010469529","0.532926960511488","-0.087422891895459","-0.150507890095508","-0.868884715613373","1.94508034226447","1.62545933992918","1.56128723889528","1.54142675613186","1.76654653383277"
"4","18.0966549158096","mins","23","0.00483337422337302","0","0.0986959489198767","0.19457565056485","0.297124660383462","0.395613493875028","0.463870696572716","0.367717055971484","0.252219510955328","0.156157204454251","0.0585374731363973","0.24036932318329","-0.219550422928127","-0.101243055919999","-0.702561950567608","1.41737570041168","1.33723209250987","1.02392603977296","1.2950965532086","1.34483763834904"
"5","2.36499876578649","mins","3","0.00264124893325985","0","0.129896125133155","0.196718574986559","0.316672531596737","0.472332404850735","0.436644299677586","0.330037614828203","0.230933221455248","0.142189920743437","0.0069833367307065","0.293823677116356","-0.194275790245601","-0.128641438087389","-0.74264900696194","1.55419684112774","1.26986093435271","1.31238617571215","1.28139545936018","1.49475540064041"
"6","37.8431357979774","mins","48","0.00487207670090512","0","0.142979312300634","0.252959881134517","0.399122078757834","0.561034361231586","-0.743723228289887","-0.886737773730061","-1.00316369106942","-1.11913413598293","-1.29315779870779","0.482516482682775","-0.10389560389303","-0.187437592683116","-0.928667330724701","1.87834215657642","1.61338159611699","1.18252446812305","1.6672863042081","2.15533992886388"
"7","6.30309428373973","mins","8","0.00423952034144641","0","0.161780895442595","0.212885418572983","0.277055182107217","0.446352028858964","0.554867931440741","0.355151106858251","0.281378759978802","0.230327176200825","0.114100358593982","0.321300172666962","-0.129760099764611","-0.0367425480321595","-0.59149413513582","1.38680670521556","0.877804600523417","1.08146649650896","0.873578094414087","1.29374899665979"
"8","18.8783918857574","mins","24","0.00484353063684078","0","0.186668518732176","0.273941003704102","0.425732763384566","0.517762626514052","0.67941240001817","0.501627550371647","0.403653244706928","0.256759900573464","0.153822710774747","0.265674087851074","-0.272405632193309","-0.0520216247204572","-0.838312211834558","1.90975002693249","1.63475371178275","1.62302000227529","1.59425937401475","1.94001392072567"
"9","28.2791300177574","mins","36","0.00483644317568448","0","0.137838708692458","0.263822890687713","0.350145924759701","0.534341855878294","0.430900909992473","0.269286346531966","0.149095765703622","0.061340973222785","-0.106723939428275","0.410846844612077","-0.132378758940679","0.0597877290839968","-0.631547317069981","1.92733688787803","1.73023741810525","1.43826126302678","1.57000647491595","1.94886301514284"
"10","18.887965464592","mins","24","0.00463522192290877","0","0.137011460376914","0.262021039342854","0.399532733022053","0.551997767815574","0.585329321125143","0.440116856279682","0.302434517207479","0.15134402317617","0.020805030505046","0.630982086592776","-0.0820750432859995","-0.139181895866944","-0.900345175464873","2.06057368768936","1.86959765386593","1.42175627207274","1.6710573369329","2.16846178968107"
